,listing_type,listing_title,Host Level,bed_type,availability,price,rating,number_of_ratings,Link
253,Condo in Mombasa,2 bedroom apartment Nyali turquoise with wifi,Starter / Mid,3 beds,Aug 15 – 22,$67,New,0,www.airbnb.com/rooms/38184787?adults=1&children=0&infants=0&check_in=2022-08-15&check_out=2022-08-22&previous_page_section_name=1000
254,Condo in Mombasa,"Coral Studio, Clean, pool, WiFi, lift and Netflix",Superhost,1 bed,Nov 14 – 21,$34,New,0,www.airbnb.com/rooms/583648592504940285?adults=1&children=0&infants=0&check_in=2022-11-14&check_out=2022-11-21&previous_page_section_name=1000
255,Apartment in Mombasa,"STYLISH, CLEAN  1BR, WIFI,NETFLIX, HOT WATER NYALI",Starter / Mid,1 king bed,Dec 12 – 19,$29,New,0,www.airbnb.com/rooms/49939712?adults=1&children=0&infants=0&check_in=2022-12-12&check_out=2022-12-19&previous_page_section_name=1000
256,Condo in Mombasa,"Serene 2-BR Beachfront Apartment with Pool, WiFi",Superhost,3 beds,Apr 10 – 17,$60,New,0,www.airbnb.com/rooms/646948858122528113?adults=1&children=0&infants=0&check_in=2023-04-10&check_out=2023-04-17&previous_page_section_name=1000
257,Condo in Mombasa,MICASA 2 BEDROOM NYALI WITH WIFI/POOL/JACUZZI/LIFT,Starter / Mid,2 beds,Oct 11 – 18,$62,New,0,www.airbnb.com/rooms/53354619?adults=1&children=0&infants=0&check_in=2022-10-11&check_out=2022-10-18&previous_page_section_name=1000
258,Apartment in Mombasa,Shirley’s Deluxe Apart. with Pool & Beach Access,Superhost,1 bed,Nov 6 – 13,$32,New,0,www.airbnb.com/rooms/50948447?adults=1&children=0&infants=0&check_in=2022-11-06&check_out=2022-11-13&previous_page_section_name=1000
259,Apartment in Mombasa,"Benice bloom, cossy and classy apartment",Starter / Mid,1 bed,Dec 8 – 15,$24,New,0,www.airbnb.com/rooms/562910447834619908?adults=1&children=0&infants=0&check_in=2022-12-08&check_out=2022-12-15&previous_page_section_name=1000
260,Apartment in Mombasa,SERENE STUDIO. (King Size Bed).,Starter / Mid,1 king bed,Mar 5 – 12,$18,New,0,www.airbnb.com/rooms/556855670956145729?adults=1&children=0&infants=0&check_in=2023-03-05&check_out=2023-03-12&previous_page_section_name=1000
261,Loft in Mombasa,Cosy Loft With Rooftop Swimming Pool -Nyali Road,Starter / Mid,2 beds,Aug 18 – 25,$18,New,0,www.airbnb.com/rooms/50493489?adults=1&children=0&infants=0&check_in=2022-08-18&check_out=2022-08-25&previous_page_section_name=1000
262,Private room in Mombasa,SeaOne Nyali Mombasa Studio Private room w/ pool,Superhost,1 queen bed,Dec 14 – 21,$24,New,0,www.airbnb.com/rooms/54244452?adults=1&children=0&infants=0&check_in=2022-12-14&check_out=2022-12-21&previous_page_section_name=1000
263,Condo in Mombasa,"Stylish 2-Bedroom apt. All Ensuite with pool, Lift",Superhost,2 beds,Aug 24 – 31,$52,New,0,www.airbnb.com/rooms/613404406511746670?adults=1&children=0&infants=0&check_in=2022-08-24&check_out=2022-08-31&previous_page_section_name=1000
264,Cottage in Tiwi,Luxury Honeymoon Cottage/Tent Tiwi Beach Kenya....,Superhost,2 beds,Dec 2 – 9,$164,New,0,www.airbnb.com/rooms/10556825?adults=1&children=0&infants=0&check_in=2022-12-02&check_out=2022-12-09&previous_page_section_name=1000
265,Apartment in Mombasa,Stylish studio in Bamburi,Superhost,1 bed,Jun 14 – 21,$17,New,0,www.airbnb.com/rooms/51220039?adults=1&children=0&infants=0&check_in=2023-06-14&check_out=2023-06-21&previous_page_section_name=1000
266,Condo in Mombasa,Cozy studio with a free parking on premises,Starter / Mid,1 bed,Dec 10 – 17,$25,New,0,www.airbnb.com/rooms/649244496391409388?adults=1&children=0&infants=0&check_in=2022-12-10&check_out=2022-12-17&previous_page_section_name=1000
267,Apartment in Mombasa,"Benice bloom, cossy and classy apartment",Starter / Mid,1 bed,Jul 27 – Aug 3,$20,New,0,www.airbnb.com/rooms/562910447834619908?adults=1&children=0&infants=0&check_in=2022-07-27&check_out=2022-08-03&previous_page_section_name=1000
268,Apartment in Mombasa,Stylish One bedroom Apartment,Starter / Mid,1 bed,Jan 19 – 26,$33,New,0,www.airbnb.com/rooms/52791569?adults=1&children=0&infants=0&check_in=2023-01-19&check_out=2023-01-26&previous_page_section_name=1000
269,Apartment in Mtwapa,"Modern, Cozy Studio Wi-Fi|Netflix◇with Hot shower",Superhost,1 queen bed,Mar 18 – 25,$21,New,0,www.airbnb.com/rooms/46421735?adults=1&children=0&infants=0&check_in=2023-03-18&check_out=2023-03-25&previous_page_section_name=1000
270,Apartment in Mombasa,"Sweet Haven, 1BR, Clean, Stylish, Wifi, Netflix",Superhost,1 double bed,Sep 6 – 13,$27,New,0,www.airbnb.com/rooms/47155450?adults=1&children=0&infants=0&check_in=2022-09-06&check_out=2022-09-13&previous_page_section_name=1000
